locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNAFGOFC_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
FNAFGOFC_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
FNAFGOFC_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
FNAFGOFC_00004	CDS	297				hypothetical protein
FNAFGOFC_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
FNAFGOFC_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
FNAFGOFC_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
FNAFGOFC_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
FNAFGOFC_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
FNAFGOFC_00010	CDS	714				hypothetical protein
FNAFGOFC_00011	CDS	405				hypothetical protein
FNAFGOFC_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
FNAFGOFC_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
FNAFGOFC_00014	CDS	1113			COG3385	IS4 family transposase IS421
FNAFGOFC_00015	CDS	141				hypothetical protein
FNAFGOFC_00016	CDS	210				hypothetical protein
FNAFGOFC_00017	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
FNAFGOFC_00018	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
FNAFGOFC_00019	CDS	378			COG1662	IS1 family transposase IS1A
FNAFGOFC_00020	CDS	276			COG1662	IS1 family transposase IS1A
FNAFGOFC_00021	CDS	264	rpsT		COG0268	30S ribosomal protein S20
FNAFGOFC_00022	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
FNAFGOFC_00023	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
FNAFGOFC_00024	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
FNAFGOFC_00025	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
FNAFGOFC_00026	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
FNAFGOFC_00027	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
FNAFGOFC_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
FNAFGOFC_00029	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
FNAFGOFC_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
FNAFGOFC_00031	CDS	396				hypothetical protein
FNAFGOFC_00032	CDS	591	yrdA_1		COG0663	Protein YrdA
FNAFGOFC_00033	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
FNAFGOFC_00034	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
FNAFGOFC_00035	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
FNAFGOFC_00036	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
FNAFGOFC_00037	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
FNAFGOFC_00038	CDS	771	fixA_1		COG2086	Protein FixA
FNAFGOFC_00039	CDS	942	fixB_1		COG2025	Protein FixB
FNAFGOFC_00040	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
FNAFGOFC_00041	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
FNAFGOFC_00042	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
FNAFGOFC_00043	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
FNAFGOFC_00044	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
FNAFGOFC_00045	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
FNAFGOFC_00046	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
FNAFGOFC_00047	CDS	378	apaG		COG2967	Protein ApaG
FNAFGOFC_00048	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
FNAFGOFC_00049	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
FNAFGOFC_00050	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
FNAFGOFC_00051	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
FNAFGOFC_00052	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
FNAFGOFC_00053	CDS	651				hypothetical protein
FNAFGOFC_00054	CDS	159				hypothetical protein
FNAFGOFC_00055	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
FNAFGOFC_00056	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
FNAFGOFC_00057	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
FNAFGOFC_00058	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
FNAFGOFC_00059	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
FNAFGOFC_00060	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
FNAFGOFC_00061	CDS	879	araC			Arabinose operon regulatory protein
FNAFGOFC_00062	CDS	765	yabI		COG0586	Inner membrane protein YabI
FNAFGOFC_00063	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
FNAFGOFC_00064	CDS	1611				hypothetical protein
FNAFGOFC_00065	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
FNAFGOFC_00066	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
FNAFGOFC_00067	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
FNAFGOFC_00068	CDS	1179	setA			Sugar efflux transporter A
FNAFGOFC_00069	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
FNAFGOFC_00070	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
FNAFGOFC_00071	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
FNAFGOFC_00072	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
FNAFGOFC_00073	CDS	945	leuO			HTH-type transcriptional regulator LeuO
FNAFGOFC_00074	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
FNAFGOFC_00075	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
FNAFGOFC_00076	CDS	1005	cra		COG1609	Catabolite repressor/activator
FNAFGOFC_00077	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
FNAFGOFC_00078	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
FNAFGOFC_00079	CDS	366	ftsL		COG3116	Cell division protein FtsL
FNAFGOFC_00080	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
FNAFGOFC_00081	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
FNAFGOFC_00082	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
FNAFGOFC_00083	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
FNAFGOFC_00084	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
FNAFGOFC_00085	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
FNAFGOFC_00086	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
FNAFGOFC_00087	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
FNAFGOFC_00088	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
FNAFGOFC_00089	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
FNAFGOFC_00090	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
FNAFGOFC_00091	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
FNAFGOFC_00092	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
FNAFGOFC_00093	CDS	588	secM			Secretion monitor
FNAFGOFC_00094	CDS	2706	secA		COG0653	Protein translocase subunit SecA
FNAFGOFC_00095	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
FNAFGOFC_00096	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
FNAFGOFC_00097	CDS	744	zapD		COG4582	Cell division protein ZapD
FNAFGOFC_00098	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
FNAFGOFC_00099	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
FNAFGOFC_00100	CDS	1203	epsF		COG1459	Type II secretion system protein F
FNAFGOFC_00101	CDS	1386	epsE		COG2804	Type II secretion system protein E
FNAFGOFC_00102	CDS	441				hypothetical protein
FNAFGOFC_00103	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
